FlowId,Environment,FlowType,FlowDirectionType,QueueName,QueueManagerName,UseSSL,ApplicationName
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_DB_RQ1104_IQMD_Request, PP, Request, Source, IIB.DERT.MOVE.INFO.REQ.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_DB_RQ1104_IQMD_Request, PP, Request, Destination, SMQ.RKEM.DERT.REQUEST.IN.EVENT,IQMD,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_IQDB_DB_Reply, PP, Reply, Destination, ,*DERT,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_IQDB_DB_Reply, PP, Reply, Source, SMQ.DERT.HISTORICAL.MOVES.REPLY.RCV,IQDB,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_IQMD_DB_Reply, PP, Reply, Destination, ,*DERT,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_HISTORICAL_MOVES_IQMD_DB_Reply, PP, Reply, Source, SMQ.DERT.HISTORICAL.MOVES.REPLY.RCV,IQMD,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_DB_RQ1103_IQDB_Request, PP, Request, Source, IIB.DERT.MOVE.INFO.REQ.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_DB_RQ1103_IQDB_Request, PP, Request, Destination, SMQ.RKEM.DERT.REQUEST.IN.EVENT,IQDB,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_DB_RQ1103_IQMD_Request, PP, Request, Source, IIB.DERT.MOVE.INFO.REQ.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_DB_RQ1103_IQMD_Request, PP, Request, Destination, SMQ.RKEM.DERT.REQUEST.IN.EVENT,IQMD,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_DB_RQ1104_IQDB_Request, PP, Request, Source, IIB.DERT.MOVE.INFO.REQ.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_DB_RQ1104_IQDB_Request, PP, Request, Destination, SMQ.RKEM.DERT.REQUEST.IN.EVENT,IQDB,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_DB_RQ1104_IQMD_Request, PP, Request, Source, IIB.DERT.MOVE.INFO.REQ.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_DB_RQ1104_IQMD_Request, PP, Request, Destination, SMQ.RKEM.DERT.REQUEST.IN.EVENT,IQMD,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_IQDB_DB_Reply, PP, Reply, Destination, ,*DERT,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_IQDB_DB_Reply, PP, Reply, Source, SMQ.DERT.MOVE.INFO.REPLY.RCV,IQDB,FALSE,        RKEM
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_IQMD_DB_Reply, PP, Reply, Destination, ,*DERT,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_RKEM_MOVE_INFO_IQMD_DB_Reply, PP, Reply, Source, SMQ.DERT.MOVE.INFO.REPLY.RCV,IQMD,FALSE,        RKEM
net.apmoller.smq.rr.dert.DERT_GCSS_GQ_TPDOC_RQ1103_Reply, PP, Reply, Source, SMQ.DERT.GQ.VV.RQ1103.REPLY.RCV,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.rr.dert.DERT_GCSS_GQ_TPDOC_RQ1103_Reply, PP, Reply, Destination, IIB.DERT.GQ.VV.REPLY.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.dert.DERT_GCSS_GQ_TPDOC_RQ1103_Request, PP, Request, Source, IIB.DERT.GCSS.GQ.TPDOC.REQ.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.rr.dert.DERT_GCSS_GQ_TPDOC_RQ1103_Request, PP, Request, Destination, SMQ.GCSS.GQ.EVENT ,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.rr.dert.DERT_GCSS_GQ_TPDOC_RQ1104_Reply, PP, Reply, Source, SMQ.DERT.GQ.VV.RQ1104.REPLY.RCV,GCSSEDUA,FALSE,        GCSS
net.apmoller.smq.rr.dert.DERT_GCSS_GQ_TPDOC_RQ1104_Reply, PP, Reply, Destination, IIB.DERT.GQ.VV.REPLY.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.dert.DERT_GCSS_GQ_TPDOC_RQ1104_Request, PP, Request, Source, IIB.DERT.GCSS.GQ.TPDOC.REQ.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.dert.DERT_GCSS_GQ_TPDOC_RQ1104_Request, PP, Request, Destination, SMQ.GCSS.GQ.EVENT,GCSSEDUA,FALSE,        GCSS
